Id,Brand,Model,Year,Grade SAE (all-season),Oil Type,Recommended Brand
LB-001,Mitsubishi,Lancer (3rd gen),1988,10W-30,"mineral, hydrocracking","Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple"
LB-002,Mitsubishi,Lancer (3rd gen),1989,"15W-30, 10W-30","mineral, hydrocracking","Exxon, Royal Purple, Mannol, Chevron, Total, Kendall"
LB-003,Mitsubishi,Lancer (3rd gen),1990,15W-30,"mineral, hydrocracking","Kixx, Exxon, Royal Purple, Mannol, Chevron, Total, Kendall"
LB-004,Mitsubishi,Lancer (3rd gen),1991,"10W-30, 15W-30, 15W-40        ","mineral, hydrocracking","Mobil, Kixx, Exxon, Royal Purple, Mannol, Chevron, Total, Kendall"
LB-005,Mitsubishi,Lancer (3rd gen),1992,"10W-30, 15W-30, 15W-40","mineral, hydrocracking","Motorex, Kixx, Exxon, Royal Purple, Mannol, Chevron,"
LB-006,Mitsubishi,Lancer (3rd gen),1993,"10W-30, 15W-30, 15W-40	","mineral, hydrocracking","Motorex, Kixx, Exxon, Royal Purple, Mannol, Chevron,"
LB-007,Mitsubishi,Lancer (3rd gen),1994,"10W-30, 15W-30, 15W-40","mineral, hydrocracking","Mobil, Kixx, Exxon, Royal Purple, Mannol, Chevron, Total, Kendall"
LB-008,Mitsubishi,Lancer (3rd gen),1995,"10W-30, 15W-30, 15W-40","semisynthetics, mineral, hydrocracking","Motorex, Kixx, Exxon, Royal Purple, Ecopower"
LB-009,Mitsubishi,Lancer (3rd gen),1996,"10W-30, 10W-40, 15W-30","semisynthetics, mineral, hydrocracking","Mobil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-010,Mitsubishi,Lancer (5th gen),1997,"10W-40, 15W-30, 15W-40","semisynthetics, mineral, hydrocracking","Kixx, Exxon, Royal Purple, Ecopower"
LB-011,Mitsubishi,Lancer (5th gen),1998,"10W-30, 10W-40, 5W-40","semisynthetics, mineral","Mobil, Valvoline, Kixx, Exxon, Ecopower"
LB-012,Mitsubishi,Lancer (5th gen),1999,"10W-30, 10W-40","semisynthetics, mineral","Valvoline, Kixx, Exxon, Royal Purple, Ecopower"
LB-013,Mitsubishi,Lancer (5th gen),2000,"10W-30, 10W-40, 15W-40, 15W-30","semisynthetics, mineral","Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Mannol"
LB-014,Mitsubishi,Lancer (6th gen),2000,"10W-30, 10W-40, 15W-40, 15W-30","semisynthetics, mineral","Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Mannol"
LB-015,Mitsubishi,Lancer (6th gen),2001,"10W-30, 15W-40, 15W-30","semisynthetics, mineral","Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-016,Mitsubishi,Lancer (6th gen),2002,"10W-40, 15W-40, 15W-30","semisynthetics, mineral","Pentosin, Lucas Oil, Valvoline, Select, Kixx, Exxon, Royal Purple, Mannol, Chevron"
LB-017,Mitsubishi,Lancer (6th gen),2003,"10W-30, 10W-40, 15W-40, 15W-30","semisynthetics, mineral","Mobil, Royal Purple, Select, Mannol, Chevron"
LB-018,Mitsubishi,Lancer (6th gen),2004,"10W-30, 10W-40, 15W-40, 15W-30","semisynthetics, mineral","Mobil, Select, Mannol, Chevron"
LB-019,Mitsubishi,Lancer (6th gen),2005,"10W-40, 5W-40","semisynthetics, mineral","Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Mannol"
LB-020,Mitsubishi,Lancer (6th gen),2006,"15W-40, 10W-40, 5W-40","semisynthetics, mineral","Mobil, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-021,Mitsubishi,Lancer (6th gen),2007,"10W-40, 5W-40",semisynthetics,"Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-022,Mitsubishi,Lancer X,2008,10W-40,semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-023,Mitsubishi,Lancer X,2009,"10W-40, 15W-40",semisynthetics,"Mobil, Valucraft, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-024,Mitsubishi,Lancer X,2010,"10W-40, 15W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-025,Mitsubishi,Lancer X,2011,"10W-40, 15W-40",semisynthetics,"Mobil, Lucas Oil, Valvoline, Valucraft, Pentosin, Kixx, Exxon"
LB-026,Mitsubishi,Lancer X,2012,15W-40,semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-027,Mitsubishi,Lancer X,2013,"10W-40, 15W-40","synthetics, semisynthetics","Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-028,Mitsubishi,Lancer X,2014,"10W-40, 15W-40","synthetics, semisynthetics","Valucraft, Pentosin, Mobil, SHELL, Castrol, Lucas Oil, Valvoline, Motorex"
LB-029,Mitsubishi,Lancer X,2015,"10W-40, 10W-50, 15W-40","synthetics, semisynthetics","SHELL, Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Motorex"
LB-030,Mitsubishi,Lancer X,2016,"10W-50, 15W-40",synthetics,"Mobil, Castrol, SHELL, Valucraft, Valvoline, Lucas Oil, Pentosin, Motorex"
LB-031,Mitsubishi,Lancer X,2017,"10W-50, 15W-50",synthetics,"Castrol, SHELL, Mobil, Valucraft, Pentosin"
LB-032,Mitsubishi,Lancer X,2018,"10W-50, 15W-50",only synthetics,"SHELL, Mobil, Castrol, Valucraft"
LB-033,Mitsubishi,Lancer X,2019,10W-50,only synthetics,"SHELL, Castrol, Mobil "
LB-034,Mitsubishi,Lancer X,2020,"5W-50, 10W-60",only synthetics,"SHELL, Castrol, Mobil "
LB-035,Mitsubishi,Eclipse Cross,2017,"10W-50, 15W-50",synthetics,"Castrol, SHELL, Mobil, Valucraft, Pentosin"
LB-036,Mitsubishi,Eclipse Cross,2018,"10W-50, 15W-50",only synthetics,"SHELL, Mobil, Castrol, Valucraft"
LB-037,Mitsubishi,Eclipse Cross,2019,10W-50,only synthetics,"SHELL, Castrol, Mobil"
LB-038,Mitsubishi,Eclipse Cross,2020,"5W-50, 10W-60",only synthetics,"SHELL, Castrol, Mobil"
LB-039,Mitsubishi,Montero (1st gen),1982,"15W-30, 15W-40, 10W-40","mineral, hydrocracking","Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple"
LB-040,Mitsubishi,Montero (1st gen),1983,"15W-30, 15W-40, 10W-40","mineral, hydrocracking","Mobil, Kixx, Exxon, Royal Purple, Mannol, Chevro "
LB-041,Mitsubishi,Montero (1st gen),1984,"15W-20, 15W-40","mineral, hydrocracking","Pentosin, Lucas Oil, Valvoline, Kixx"
LB-042,Mitsubishi,Montero (1st gen),1985,"15W-30, 15W-40, 10W-30","mineral, hydrocracking","Pentosin, Lucas Oil, Valvoline, Kixx, Exxon"
LB-043,Mitsubishi,Montero (1st gen),1986,"15W-30, 15W-40, 10W-30","mineral, hydrocracking","Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Ecopower"
LB-044,Mitsubishi,Montero (1st gen),1987,10W-30,"mineral, hydrocracking","Valucraft, Pentosin, Lucas Oil, Valvoline, Exxon, Royal Purple"
LB-045,Mitsubishi,Montero (1st gen),1988,10W-30,"mineral, hydrocracking","Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple"
LB-046,Mitsubishi,Montero (1st gen),1989,"15W-30, 10W-30","mineral, hydrocracking","Exxon, Royal Purple, Mannol, Chevron, Total, Kendall"
LB-047,Mitsubishi,Montero (1st gen),1990,15W-30,"mineral, hydrocracking","Kixx, Exxon, Royal Purple, Mannol, Chevron, Total, Kendall"
LB-048,Mitsubishi,Montero (1st gen),1991,"10W-30, 15W-30, 15W-40","mineral, hydrocracking","Mobil, Kixx, Exxon, Royal Purple, Mannol, Chevron, Total, Kendall"
LB-049,Mitsubishi,Pajero (4th gen),2010,"10W-40, 15W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-050,Mitsubishi,Pajero (4th gen),2011,"10W-40, 15W-40",semisynthetics,"Mobil, Lucas Oil, Valvoline, Valucraft, Pentosin, Kixx, Exxon"
LB-051,Mitsubishi,Pajero (4th gen),2012,15W-40,semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon "
LB-052,Mitsubishi,Pajero (4th gen),2013,"10W-40, 15W-40","synthetic, semisynthetics","Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-053,Mitsubishi,Pajero (4th gen),2014,"10W-40, 15W-40","synthetic, semisynthetics","Valucraft, Pentosin, Mobil, SHELL, Castrol, Lucas Oil, Valvoline, Motorex"
LB-054,Mitsubishi,Pajero (4th gen),2015,"10W-40, 10W-50, 15W-40","synthetic, semisynthetics","SHELL, Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Motorex"
LB-055,Mitsubishi,Pajero (4th gen),2016,"10W-50, 15W-40",synthetic,"Mobil, Castrol, SHELL, Valucraft, Valvoline, Lucas Oil, Pentosin, Motorex"
LB-056,Mitsubishi,Pajero (4th gen),2017,"10W-50, 15W-50",synthetic,"Castrol, SHELL, Mobil, Valucraft, Pentosin"
LB-057,Mitsubishi,Pajero (4th gen),2018,"10W-50, 15W-50",only synthetics,"SHELL, Mobil, Castrol, Valucraft"
LB-058,Mitsubishi,Pajero (4th gen),2019,10W-50,only synthetics,"SHELL, Castrol, Mobil"
LB-059,Mitsubishi,Pajero (4th gen),2020,"5W-50, 10W-60",only synthetics,"SHELL, Castrol, Mobil"
LB-060,Land Rover,Defender,2014,"10W-40, 15W-40","synthetic, semisynthetics","Valucraft, Pentosin, Mobil, SHELL, Castrol, Lucas Oil, Valvoline, Motorex"
LB-061,Land Rover,Defender,2015,"10W-40, 10W-50, 15W-40","synthetic, semisynthetics","SHELL, Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Motorex"
LB-062,Land Rover,Defender,2016,"10W-50, 15W-40",synthetic,"Mobil, Castrol, SHELL, Valucraft, Valvoline, Lucas Oil, Pentosin, Motorex"
LB-063,Land Rover,Discovery (4th gen),2015,"10W-40, 10W-50, 15W-40","synthetic, semisynthetics","SHELL, Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Motorex"
LB-064,Land Rover,Discovery (4th gen),2016,"10W-50, 15W-40",synthetic,"Mobil, Castrol, SHELL, Valucraft, Valvoline, Lucas Oil, Pentosin, Motorex"
LB-065,Land Rover,Discovery (5th gen),2016,"10W-50, 15W-40",synthetic,"Mobil, Castrol, SHELL, Valucraft, Valvoline, Lucas Oil, Pentosin, Motorex"
LB-066,Land Rover,Discovery (5th gen),2017,"10W-50, 15W-50",synthetic,"Castrol, SHELL, Mobil, Valucraft, Pentosin"
LB-067,Land Rover,Discovery (5th gen),2018,"10W-50, 15W-50",only synthetic,"SHELL, Mobil, Castrol, Valucraft"
LB-068,Land Rover,Discovery (5th gen),2019,10W-50,only synthetic,"SHELL, Castrol, Mobil"
LB-069,Land Rover,Discovery (5th gen),2020,"5W-50, 10W-60",only synthetic,"SHELL, Castrol, Mobil"
LB-070,BMW,5 F07,2009,"10W-40, 15W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-071,BMW,5 F07,2010,"10W-40, 15W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-072,BMW,5 F07,2011,"10W-40, 15W-40",semisynthetics,"Mobil, Lucas Oil, Valvoline, Valucraft, Pentosin, Kixx, Exxon"
LB-073,BMW,5 F07,2012,15W-40,semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon"
LB-074,BMW,5 F07,2013,"10W-40, 15W-40","synthetic, semisynthetics","Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-075,BMW,5 F07,2014,"10W-40, 15W-40","synthetic, semisynthetics","Valucraft, Pentosin, Mobil, SHELL, Castrol, Lucas Oil, Valvoline, Motorex"
LB-076,BMW,5 F07,2015,"10W-40, 10W-50, 15W-40","synthetic, semisynthetics","SHELL, Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Motorex"
LB-077,BMW,5 F07,2016,"10W-50, 15W-40",synthetic,"Mobil, Castrol, SHELL, Valucraft, Valvoline, Lucas Oil, Pentosin, Motorex"
LB-078,BMW,5 F07,2017,"10W-50, 15W-50",synthetic,"	Castrol, SHELL, Mobil, Valucraft, Pentosin"
LB-079,BMW,5 F07,2018,"10W-50, 15W-50",only synthetic,"SHELL, Mobil, Castrol, Valucraft"
LB-080,BMW,X1,2010,"10W-40, 15W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-081,BMW,X1,2012,15W-40,semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon"
LB-082,BMW,X1,2015,"10W-40, 10W-50, 15W-40","synthetics, semisynthetics","SHELL, Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Motorex"
LB-083,BMW,X3,2012,15W-40,semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon"
LB-084,BMW,X3,2015,"10W-40, 10W-50, 15W-40","synthetics, semisynthetics","SHELL, Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Motorex"
LB-085,BMW,X3,2017,"10w-50, 15W-50",synthetic,"Castrol, SHELL, Mobil, Valucraft, Pentosin"
LB-086,BMW,X3,2018,"10w-50, 15W-50",only synthetic,"SHELL, Mobil, Castrol, Valucraft"
LB-087,BMW,X3,2019,10W-50,only synthetic,"SHELL, Castrol, Mobil"
LB-088,BMW,X5,2010,"10W-40, 15W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-089,BMW,X5,2011,"10W-40, 15W-40",semisynthetics,"Mobil, Lucas Oil, Valvoline, Valucraft, Pentosin, Kixx, Exxon"
LB-090,BMW,X5,2014,"10W-40, 15W-40","synthetics, semisynthetics","Valucraft, Pentosin, Mobil, SHELL, Castrol, Lucas Oil, Valvoline, Motorex"
LB-091,BMW,X5,2016,"10W-50,15W-40",synthetic,"Mobil, Castrol, SHELL, Valucraft, Valvoline, Lucas Oil, Pentosin, Motorex"
LB-092,BMW,X5,2018,"10w-50, 15W-50",only synthetic,"SHELL, Mobil, Castrol, Valucraft"
LB-093,BMW,m2,2016,"10W-50,15W-40",synthetics,"Mobil, Castrol, SHELL, Valucraft, Valvoline, Lucas Oil, Pentosin, Motorex"
LB-094,BMW,m2,2017,"10w-50, 15W-50",synthetics,"Castrol, SHELL, Mobil, Valucraft, Pentosin"
LB-095,BMW,m5,2015,"10W-40, 10W-50, 15W-40","synthetics, semisynthetics","SHELL, Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Motorex"
LB-096,BMW,m5,2018,"10w-50, 15W-50",only synthetics,"SHELL, Mobil, Castrol, Valucraft"
LB-097,BMW,x5-m,2014,"10W-40, 15W-40","synthetics, semisynthetics","Valucraft, Pentosin, Mobil, SHELL, Castrol, Lucas Oil, Valvoline, Motorex"
LB-098,BMW,x5-m,2017,"10w-50, 15W-50",synthetics,"Castrol, SHELL, Mobil, Valucraft, Pentosin"
LB-099,BMW,x5-m,2019,10W-50,only synthetics,"SHELL, Castrol, Mobil"
LB-100,Toyota,Hilux 5th gen,1988-1994,"10W-30,15W-30,15W-40","mineral,hydrocracking","Motorex, Kixx, Exxon, Royal Purple, Mannol, Chevron"
LB-101,Toyota,Hilux 5th gen,1995-1997,"10W-30,15W-30,15W-40","semisynthetics, mineral, hydrocracking","Kixx, Exxon, Royal Purple, Ecopower"
LB-102,Toyota,Hilux  Surf 3rd gen,1996-1997,"10W-30,15W-30,15W-40","semisynthetics, mineral, hydrocracking","Kixx, Exxon, Royal Purple, Ecopower,Mobil,Valvoline"
LB-103,Toyota,Hilux Surf 3rd gen,1998,"10W-30,15W-30,15W-40","semisynthetics, mineral","Mobil, Valvoline, Kixx, Exxon, Ecopower"
LB-104,Toyota,Hilux Surf 3rd gen,1999,"10W-30,15W-30,15W-40","semisynthetics, mineral","Valvoline, Kixx, Exxon, Royal Purple, Ecopower"
LB-105,Toyota,Hilux Surf 3rd gen,2000,"10W-30,15W-30,15W-40","semisynthetics, mineral","Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Mannol"
LB-106,Toyota,Hilux Surf 3rd gen,2001,"10W-30,15W-30,15W-40","semisynthetics, mineral","Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-107,Toyota,Hilux Surf 3rd gen,2002,"10W-30,15W-30,15W-40","semisynthetics, mineral","Pentosin, Lucas Oil, Valvoline, Select, Kixx, Exxon, Royal Purple, Mannol, Chevron"
LB-108,Toyota,Hilux Surf 4th gen,2003,"10W-30,10W-40,15W-30,15W-40","semisynthetics, mineral","Mobil, Royal Purple, Select, Mannol, Chevron"
LB-109,Toyota,Hilux Surf 4th gen,2004,"10W-30,10W-40,15W-30,15W-40","semisynthetics, mineral","Mobil, Select, Mannol, Chevron"
LB-110,Toyota,Hilux Surf 4th gen,2005,"10W-40,5W-40","semisynthetics, mineral","Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Select"
LB-111,Toyota,Hilux Surf 4th gen,2006,"15W-40,10W-40,5W-40","semisynthetics, mineral","Mobil, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-112,Toyota,Hilux Surf 4th gen,2007,"10W-40,5W-40",semisynthetics,"Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-113,Toyota,Hilux Surf 4th gen,2008,10W-40,semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-114,Toyota,Hilux Surf 4th gen,2009,"10W-40,15W-40",semisynthetics,"Mobil, Valucraft, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-115,Toyota,Prius 1st gen,1997,"10W-40,15W-30,15W-40","semisynthetics, mineral, hydrocracking","Kixx, Exxon, Royal Purple, Ecopower"
LB-116,Toyota,Prius 1st gen,1998,"10W-30,10W-40,5W-40","semisynthetics, mineral","Mobil, Valvoline, Kixx, Exxon, Ecopower"
LB-117,Toyota,Prius 1st gen,1999,"10W-30,10W-40","semisynthetics, mineral","Valvoline, Kixx, Exxon, Royal Purple, Ecopower"
